Date,Real Adj Close,ARIMA-GARCH Forecast,GRU Forecast,,,,,,,,,,,,
3/1/2024,138.08,117.01,140.77,,,,,,,,,,,,
3/4/2024,134.2,117.11,141.84,,,,,,,,,,,,
3/5/2024,133.78,117.12,142.75,,,,,,Statistics,Real Data,ARIMA-GARCH Forecast,GRU Forecast,,,
3/6/2024,132.56,117.21,143.68,,,,,,Mean,158.8312698,118.5202297,159.4705051,,,
3/7/2024,135.24,117.22,144.60,,,,,,Standard Error,1.677293441,0.110022838,1.029708699,,,
3/8/2024,136.29,117.30,145.50,,,,,,Median,157.66,118.5305587,162.09752,,,
3/11/2024,138.94,117.31,146.39,,,,,,Mode,151.94,#N/A,#N/A,,,
3/12/2024,139.62,117.40,147.26,,,,,,Standard Deviation,13.31310396,0.873279204,8.173059424,,,
3/13/2024,140.77,117.41,148.11,,,,,,Sample Variance,177.2387371,0.762616568,66.79890035,,,
3/14/2024,144.34,117.49,148.94,,,,,,Kurtosis,-0.890379401,-1.19576964,-0.595870826,,,
3/15/2024,142.17,117.50,149.75,,,,,,Skewness,-0.234767037,-0.003255059,-0.780712469,,,
3/18/2024,148.48,117.59,150.54,,,,,,Range,46.98,2.98102,27.72407,,,
3/19/2024,147.92,117.60,151.31,,,,,,Minimum,132.56,117.0109123,140.77133,,,
3/20/2024,149.68,117.68,152.06,,,,,,Maximum,179.54,119.9919323,168.4954,,,
3/21/2024,148.74,117.70,152.79,,,,,,Sum,10006.37,7466.77447,10046.64182,,,
3/22/2024,151.77,117.77,153.50,,,,,,Count,63,63,63,,,
3/25/2024,151.15,117.79,154.18,,,,,,,,,,,,
3/26/2024,151.7,117.87,154.85,,,,,,,,,,,,
3/27/2024,151.94,117.89,155.50,,,,,,,,,,,,
3/28/2024,152.26,117.96,156.12,,,,,,,,,,,,
4/1/2024,156.5,117.98,156.73,,,,,,,,,,,,
4/2/2024,155.87,118.06,157.31,,,,,,,,,,,,
4/3/2024,156.37,118.08,157.88,,,,,,,,,,,,
4/4/2024,151.94,118.15,158.42,,,,,,,,,,,,
4/5/2024,153.94,118.18,158.95,,,,,,,,,,,,
4/8/2024,156.14,118.25,159.45,,,,,,,,,,,,
4/9/2024,158.14,118.27,159.94,,,,,,,,,,,,
4/10/2024,157.66,118.34,160.40,,,,,,,,,,,,
4/11/2024,160.79,118.37,160.85,,,,,,,,,,,,
4/12/2024,159.19,118.44,161.29,,,,,,,,,,,,
4/15/2024,156.33,118.46,161.70,,,,,,,,,,,,
4/16/2024,156,118.53,162.10,,,,,,,,,,,,
4/17/2024,156.88,118.56,162.48,,,,,,,,,,,,
4/18/2024,157.46,118.63,162.84,,,,,,,,,,,,
4/19/2024,155.72,118.65,163.19,,,,,,,,,,,,
4/22/2024,157.95,118.72,163.53,,,,,,,,,,,,
4/23/2024,159.92,118.75,163.85,,,,,,,,,,,,
4/24/2024,161.1,118.81,164.15,,,,,,,,,,,,
4/25/2024,157.95,118.85,164.44,,,,,,,,,,,,
4/26/2024,173.69,118.91,164.72,,,,,,,,,,,,
4/29/2024,167.9,118.94,164.99,,,,,,,,,,,,
4/30/2024,164.64,119.00,165.24,,,,,,,,,,,,
5/1/2024,165.57,119.04,165.49,,,,,,,,,,,,
5/2/2024,168.46,119.10,165.72,,,,,,,,,,,,
5/3/2024,168.99,119.13,165.94,,,,,,,,,,,,
5/6/2024,169.83,119.19,166.15,,,,,,,,,,,,
5/7/2024,172.98,119.23,166.35,,,,,,,,,,,,
5/8/2024,171.16,119.29,166.54,,,,,,,,,,,,
5/9/2024,171.58,119.32,166.72,,,,,,,,,,,,
5/10/2024,170.29,119.38,166.89,,,,,,,,,,,,
5/13/2024,170.9,119.42,167.06,,,,,,,,,,,,
5/14/2024,171.93,119.48,167.21,,,,,,,,,,,,
5/15/2024,173.88,119.51,167.36,,,,,,,,,,,,
5/16/2024,175.43,119.57,167.50,,,,,,,,,,,,
5/17/2024,177.29,119.61,167.64,,,,,,,,,,,,
5/20/2024,178.46,119.67,167.77,,,,,,,,,,,,
5/21/2024,179.54,119.71,167.89,,,,,,,,,,,,
5/22/2024,178,119.76,168.00,,,,,,,,,,,,
5/23/2024,175.06,119.80,168.11,,,,,,,,,,,,
5/24/2024,176.33,119.86,168.21,,,,,,,,,,,,
5/28/2024,178.02,119.90,168.31,,,,,,,,,,,,
5/29/2024,177.4,119.95,168.41,,,,,,,,,,,,
5/30/2024,173.56,119.99,168.50,,,,,,,,,,,,
